color_element	spell_incantation
black	"As I reach into the infinite expanse of the cosmos, I manipulate the gravitational forces, bending them to my will; Cosmic Manipulation of the Gravitybound Nexus!"
black	"Behold the void that swallows all, the inescapable emptiness that gnaws at the soul; I call upon the nothingness, and let the abyss consume my foes; Vacuum of the Eternal Abyss!"
black	"Behold, the void's eternal hunger, a darkness that devours all light; Bend to my will, oh cosmic abyss, and swallow my enemies into the maw of oblivion; Black Hole of Inescapable Despair!"
black	"By the boundless expanse of the cosmos, grant me the power to expand my allies' horizons and potential, while confining my enemies within the limits of their own abilities; Let them soar to the stars or be tethered to the ground; Duality of the Cosmic Potential!"
black	"By the boundless reach of the space-time continuum, let the very fabric of existence unravel and bend to my will; With the power to transcend reality, I call forth the Arcane Horizon of the Celestial Weaver!"
black	"By the boundless void that devours all, I invoke the mastery of the cosmic lattice; Manipulate the fabric of reality and bend the laws of the universe to my whim; Astral Manipulation of the Quantum Enigma!"
black	"By the celestial dance of the planets, grant me mastery over the forces of gravity; Bend the laws of physics to my will, and let the world be reshaped by my command; Gravitational Symphony of the Cosmic Puppeteer!"
black	"By the chains of the eternal prisoner, bind the limbs and movements of my foes; Let them be shackled and slowed, unable to escape their fate; Grasp of the Imprisoned Shackles!"
black	"By the cloak of shadows and the whispers of the unseen, let me vanish from the sight of all; Grant me the power to walk unseen, an invisible specter that eludes even the most watchful eye; Veil of the Unseen Phantom!"
black	"By the command of gravity, I warp the very fabric of space; Let my enemies be lost in the labyrinth of warped dimensions, as I invoke the Warp Gate of the Spacetime Mage!"
black	"By the dual forces of wisdom and folly, grant me the power to elevate or diminish the minds of my allies and enemies; Let their intellect soar to the heavens or be reduced to the depths of ignorance; Dichotomy of the Enlightened Fool!"
black	"By the endless void that consumes all existence, I call forth the power to control the fundamental forces of the cosmos; Bend space and time to my will, and let the weight of the universe crush my enemies; Singularity of the Astral Annihilation!"
black	"By the enigmatic force of the boundless abyss, let the gravity of the cosmos weigh heavily upon my foes; Crush them beneath the crushing embrace of the Gravitational Symphony of the Dark Singularity!"
black	"By the enigmatic riddle of the sphinx, confound the intellect and wisdom of my foes; Let them be unable to solve even the simplest of problems, their minds ensnared by your cunning; Enigma of the Sphinx's Labyrinth!"
black	"By the enigmatic veil of the trickster, grant me the power to assume any guise I desire; Let my appearance be altered at will, allowing me to blend in seamlessly with my surroundings; Masquerade of the Chameleon's Guise!"
black	"By the eternal symphony of the cosmos, let the harmonies of creation resonate within my being; Unleash the power of the astral orchestra, and command the elements with the celestial melodies; Ode to the Celestial Maestro!"
black	"By the force of gravity, I anchor my foes to the ground, and crush their spirits with the weight of the universe; Let the power of the black hole consume them, as I unleash the Singularity's Grasp!"
black	"By the force of my indomitable will, let the very concept of reality be subjugated; As the illusions of my making take form and ensnare my enemies, so shall they be blinded by the illusions of their own minds; Hallucinatory Mirage of the Mindbender!"
black	"By the force of my will and the strength of my spirit, I command the essence of the void to manifest as the all-consuming darkness of the Void's Consummation!"
black	"By the grace of the wandering stars, I command the celestial bodies to dance to my tune; Let the gravity of the void bend to my will, and let the crushing weight of the Black Hole Nova engulf my foes!"
black	"By the gravitic pull of the celestial bodies, let the laws of physics become my plaything; With the power of gravity at my command, let my enemies be crushed beneath the weight of their own despair; Event Horizon of the Stellar Graviton!"
black	"By the gravity of the cosmic abyss, let the crushing force of the celestial sphere bind my enemies; Succumb to the weight of the infinite cosmos and let the Inescapable Embrace of the Gravitational Nexus ensnare all!"
black	"By the power of darkness, let the shadows become my cloak; With the ability to conceal myself from the eyes of my enemies, let them be struck by my unseen blade; Stealth of the Midnight Assassin!"
black	"By the power of emptiness, let the void consume all; With the ability to draw all into its endless embrace, let my enemies be consumed by the void; Embrace of the Eternal Night!"
black	"By the power of my will and the strength of my spirit, I command the essence of the void to converge and manifest as the infinite potential of the Void's Creation!"
black	"By the power of my will and the strength of my spirit, I command the essence of the void to converge and manifest as the unbreakable barrier of the Void's Embrace!"
